player_id,full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,team_id,gw,position,multiplier
263,Jordan Pickford,0,0,89,2070,30,40.3,540.0,0.0,11,422,58.1,8,0,3,10.2,45,GK,98027,36,1,1
407,Dan Burn,2,1,59,1490,25,84.0,361.4,196.0,2,270,64.2,5,0,3,5.1,44,DEF,98027,36,2,1
616,Joško Gvardiol,0,0,44,1472,18,219.8,256.4,169.0,1,280,64.6,4,0,2,3.3,48,DEF,98027,36,3,1
5,Gabriel dos Santos Magalhães,2,1,76,1724,19,88.7,397.8,169.0,6,352,65.7,6,0,2,18.6,50,DEF,98027,36,4,1
353,Phil Foden,8,7,124,1770,21,696.9,599.8,613.0,15,481,191.3,7,0,1,27.1,79,MID,98027,36,5,1
19,Bukayo Saka,8,8,129,1921,22,858.6,654.6,785.0,16,464,230.0,7,0,2,60.1,90,MID,98027,36,6,1
362,Cole Palmer,10,5,112,1414,30,444.1,553.0,472.0,15,383,146.7,3,0,6,39.2,59,MID,98027,36,7,1
516,Son Heung-min,12,5,136,1690,27,486.3,631.8,685.0,18,442,180.2,6,0,1,15.0,96,MID,98027,36,8,1
211,Nicolas Jackson,7,2,67,1476,27,245.6,384.6,623.0,5,216,124.8,4,0,8,4.1,68,FWD,98027,36,9,1
415,Alexander Isak,10,0,79,1178,23,166.5,402.4,537.0,9,302,110.4,3,0,0,13.8,76,FWD,98027,36,10,1
355,Erling Haaland,14,6,118,1398,18,220.3,614.2,862.0,15,437,169.7,4,0,1,63.1,142,FWD,98027,36,11,2
687,Đorđe Petrović,0,0,28,636,14,0.0,220.6,0.0,3,148,22.1,2,0,0,1.2,45,GK,98027,36,12,0
382,Alejandro Garnacho,5,2,74,1332,19,367.0,324.0,523.0,5,213,121.0,6,0,4,5.8,48,MID,98027,36,13,0
377,Diogo Dalot Teixeira,1,1,66,1824,29,337.7,405.2,113.0,8,385,85.8,6,1,4,3.3,51,DEF,98027,36,14,0
506,Pedro Porro,0,8,85,1977,33,649.7,561.2,210.0,13,495,142.2,5,0,3,34.1,59,DEF,98027,36,15,0
