event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,68,68,3427332,3679560,3427332,,0,1000,0,0,0
2,46,110,4148149,4175036,4007357,,0,1000,2,4,11
3,40,150,5786466,5877295,4314011,,2,1001,1,0,3
4,88,234,868960,887681,3106773,,0,1001,2,4,13
5,46,280,3974010,4129416,2923379,,0,1002,0,0,1
6,54,334,8228839,8293900,4423725,,0,1002,0,0,3
7,30,360,9269888,9273371,5963424,,11,1002,3,4,3
8,57,417,1389514,1451569,5025824,,11,1002,0,0,4
9,60,477,6607768,6707759,5369458,,11,1003,0,0,2
10,69,546,4165402,4308557,5200951,,11,1002,0,0,0
11,42,588,1309774,1399643,4588379,,11,1001,0,0,0
12,79,667,1392012,1448981,3727565,,11,1002,0,0,0
13,39,706,7784222,7911792,4160690,,11,1000,0,0,0
14,35,741,9824502,9862604,5221105,,11,1001,0,0,0
15,29,770,7715042,7919385,5499097,,11,1000,0,0,0
16,56,826,1755176,1814615,4702012,,11,999,0,0,0
17,22,848,9898773,9950627,5566431,,11,1003,0,0,0
18,46,894,2442056,2522427,5169274,,11,1002,0,0,0
19,33,927,6953100,7134452,5334714,,11,1004,0,0,0
20,58,985,5588447,5669167,5321580,,11,1004,0,0,0
21,47,1032,4989849,5099690,5236247,50.0,25,997,0,0,13
22,65,1097,1393137,1457377,4771847,15.0,25,999,0,0,3
23,79,1176,1296105,1343420,4226182,15.0,25,996,0,0,11
24,60,1236,6107433,6225454,4310760,60.0,25,995,0,0,16
25,73,1309,5363043,5495087,4324663,55.0,25,995,0,0,18
26,48,1357,4643212,4742401,4324130,45.0,25,1001,0,0,10
27,69,1426,3715836,3824383,4234343,35.0,25,1002,0,0,13
28,56,1478,2227264,2238093,4048830,25.0,23,1006,3,4,20
29,5,1483,8515638,8822990,4219571,80.0,23,1005,0,0,0
30,35,1518,8318526,8440418,4498074,80.0,23,1002,0,0,7
31,69,1587,1362368,1405592,4109317,15.0,23,1003,0,0,0
32,66,1653,2205654,2329558,3991961,25.0,23,1002,0,0,5
33,41,1694,8582606,8675512,4363007,80.0,23,1004,0,0,5
34,82,1776,4264270,4328539,4335329,40.0,23,1006,0,0,28
35,44,1820,7325352,7467970,4471273,70.0,23,1007,0,0,1
36,42,1862,10147010,10181827,4867845,95.0,23,1008,0,0,6
