element_in,element_in_cost,element_out,element_out_cost,entry,event,time
326,51,343,66,7901148,28,2024-03-03T20:48:28.756629Z
293,75,33,43,7901148,28,2024-03-03T20:48:28.756146Z
524,42,291,57,7901148,28,2024-03-03T20:48:28.752532Z
291,57,352,55,7901148,21,2024-01-12T16:59:20.509098Z
313,63,342,50,7901148,21,2024-01-12T16:59:20.508868Z
20,56,495,43,7901148,21,2024-01-12T16:59:20.508630Z
349,103,429,52,7901148,21,2024-01-12T16:59:20.508368Z
353,79,308,128,7901148,21,2024-01-12T16:59:20.508005Z
343,70,355,139,7901148,21,2024-01-12T16:59:20.507540Z
134,65,249,55,7901148,21,2024-01-12T16:59:20.507100Z
19,91,504,76,7901148,21,2024-01-12T16:59:20.506610Z
405,47,611,51,7901148,7,2023-09-25T19:38:52.780471Z
373,84,14,85,7901148,7,2023-09-25T19:38:52.779914Z
85,64,211,70,7901148,7,2023-09-25T19:38:52.771807Z
611,51,341,50,7901148,4,2023-09-01T16:21:12.145858Z
342,51,395,50,7901148,4,2023-09-01T16:21:12.140713Z
211,71,293,73,7901148,3,2023-08-25T16:26:23.169944Z
504,75,226,65,7901148,2,2023-08-15T19:23:42.430039Z
341,50,346,60,7901148,2,2023-08-15T15:25:48.635980Z
